"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","weather_prop","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d","pct_delay","pct_cancel"
"ABE",461,9,74,5698,0.122103311982863,-75.442797,40.651773,"Pennsylvania",725170,40.65,-75.448,23.5387126019946,117.002719854941,2.24795268425842,14432.1432456936,70.3644614514824,0.48118152518143,0.160520607375271,0.0195227765726681
"ABI",211,4,37,1728,0.00694444444444444,-99.6819000244,32.4113006592,"Texas",722660,32.411,-99.683,30.7213495575221,546,4.68955555555556,15979.6555924695,49.0957110716697,0.10853565180104,0.175355450236967,0.018957345971564
"ABQ",2184,15,409,23841,0.0294148154417339,-106.609001,35.040199,"NewMexico",723650,35.033,-106.617,26.2268587360595,1619.79275092937,3.51711627906977,16031.6793680297,38.1172861867545,1.08220198334969,0.187271062271062,0.00686813186813187
"ABR",62,0,7,817,0,-98.4217987060547,45.4491004943848,"SouthDakota",726590,45.443,-98.422,19.9592792792793,396.447747747748,3.55072202166065,14066.2207207207,77.157925855362,0.678525764669329,0.112903225806452,0
"ABY",83,1,18,819,0.2002442002442,-84.196215,31.532946,"Georgia",722160,31.536,-84.194,27.2727941176471,59,2.00404783808648,14139.520699172,77.7466889548385,0.399236047355086,0.216867469879518,0.0120481927710843
"ACK",370,9,89,7153,0.0294941539983971,-70.06020355,41.25310135,"Massachusetts",725069,41.688,-69.993,21.9754961173425,21,2.64886956521739,13292.726488352,83.9582091627552,48.681598303813,0.240540540540541,0.0243243243243243
"ACT",171,3,26,1112,0.0665467625899281,-97.2304992675781,31.6112995147705,"Texas",722560,31.611,-97.231,30.490652173913,155.276086956522,4.22726281352235,15889.6760869565,61.4148069570568,0.0579449289200747,0.152046783625731,0.0175438596491228
"ACV",230,5,64,4594,0.04309969525468,-124.109,40.978101,"California",725945,40.978,-124.109,15.4598667776853,64.0099916736053,1.96325,11543.1873438801,84.6060865900315,0.0112306875911888,0.278260869565217,0.0217391304347826
"ACY",226,11,65,6198,0.0364633752823491,-74.5772018432617,39.4575996398926,"NewJersey",724070,39.45,-74.577,24.4129280821918,20.0051369863014,2.79776055124892,13902.9982876712,76.1961958872988,0.845219078440685,0.287610619469027,0.0486725663716814
"ADK",9,1,2,221,0,-176.642783,51.883564,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,3789.82402763365,0.222222222222222,0.111111111111111
"ADQ",56,0,7,246,0,-152.4940033,57.75,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,2231.64795793496,0.125,0
"AEX",267,2,57,3237,0.0676799973279467,-92.549797,31.3274,"Louisiana",722487,31.395,-92.291,26.2458784346378,36,1.01923076923077,10201.5720233139,84.4046555043589,25.6966794737459,0.213483146067416,0.00749063670411985
"AGS",404,6,83,5479,0.26083215691886,-81.9645,33.3699,"Georgia",722180,33.364,-81.967,26.5072072072072,44.997542997543,1.93237704918033,12560.3106557377,77.7723250117369,0.695918414726238,0.205445544554455,0.0148514851485149
"AKN",5,0,0,0,NA,-156.651965,58.677845,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,2492.30012033646,0,0
"ALB",1155,10,234,13810,0.0818192602254911,-73.8016967773438,42.7482986450195,"NewYork",725180,42.692,-73.8,21.810945709282,90.2872154115587,2.61663747810858,14685.8546409807,70.2934186513199,6.26165812641148,0.202597402597403,0.00865800865800866
"ALO",60,2,12,638,0.38871473354232,-92.4002990722656,42.5570983886719,"Iowa",725480,42.55,-92.401,21.4368566176471,267.981617647059,2.76431226765799,14417.8547794118,74.2456609281795,0.791390189344229,0.2,0.0333333333333333
"AMA",449,15,80,5311,0.0768335632429445,-101.706001,35.219398,"Texas",723630,35.217,-101.717,26.4816827344435,1097.35845749343,5.45804749340369,15331.1524978089,55.1253608221587,1.03413870590227,0.178173719376392,0.0334075723830735
"ANC",2196,15,426,19374,0.0487040226143717,-149.996002,61.1744,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,2233.21446999239,0.193989071038251,0.00683060109289617
"APN",53,0,9,345,0,-83.56030273,45.0780983,"Michigan",726390,45.067,-83.567,18.4485080988917,210.993179880648,2.53685567010309,14587.3921568627,72.5644333425201,1.3414652038651,0.169811320754717,0
"ASE",581,4,106,10573,0.0216589425896151,-106.869003,39.223202,"Colorado",724676,39.223,-106.87,18.8578419071518,2360.06022584693,3.2242385786802,16068.7641154329,39.4529984842942,0.0887717586116891,0.182444061962134,0.00688468158347676
"ATL",35434,175,5133,369210,0.0874168611981948,-84.428101,33.6367,"Georgia",722190,33.63,-84.442,27.1112759643917,313.245301681503,3.13768545994065,15262.5113748764,66.0900743507816,1.4868885331288,0.144860868092792,0.00493875938364283
"ATW",356,3,50,2663,0.102767940439706,-88.519096,44.258099,"Wisconsin",726457,44.25,-88.517,18.1665213600698,280,2.83365300784656,15648.5902353967,69.7060128571389,0.915908763998987,0.140449438202247,0.00842696629213483
"ATY",57,1,9,836,0,-97.15470123,44.91400146,"SouthDakota",726546,44.905,-97.149,19.078431372549,530,3.61267190569745,14463.2147058824,82.0713115919033,1.09700224921366,0.157894736842105,0.0175438596491228
"AUS",5896,52,1126,75267,0.0364715556446365,-97.662015,30.197535,"Texas",722540,30.183,-97.7,29.989766970618,155.749746707194,3.09269776876268,15708.6585612969,66.8631495427928,3.99258532094261,0.190976933514247,0.00881953867028494
"AVL",905,23,203,13825,0.0571553561522559,-82.541801,35.436199,"NorthCarolina",723150,35.432,-82.55,21.681429624171,660.997789240973,1.65362426035503,12671.970523213,79.4472298056286,0.877379487822473,0.224309392265193,0.025414364640884
"AVP",322,6,69,4621,0.135712245140142,-75.7233963013,41.3385009766,"Pennsylvania",725130,41.333,-75.727,21.6917705735661,292.178719866999,1.97019150707744,13942.3582709892,76.0802333095628,0.681674243712291,0.214285714285714,0.0186335403726708
"AZA",365,0,86,6609,0.0134664850960811,-111.654999,33.3078,"Arizona",722786,33.3,-111.666,32.7379710144928,421,3.32245885769603,16044.7076476283,33.9440521730329,1.3406957071872,0.235616438356164,0
"AZO",203,4,38,1830,0.091213257190905,-85.5521011352539,42.2349014282227,"Michigan",726357,42.235,-85.552,21.3392405063291,266,2.27910922587487,13784.3206751055,71.1040027323857,0.0137645714050702,0.187192118226601,0.0197044334975369
"BDL",2362,20,524,35800,0.0642357258072572,-72.688066,41.93851,"Connecticut",725080,41.933,-72.683,22.2890303623898,55,2.69745347698335,14824.6993143976,70.9804267247094,0.742281079999087,0.221845893310754,0.00846740050804403
"BET",70,2,7,223,0.147982062780269,-161.8379974,60.77980042,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,2823.75541578993,0.1,0.0285714285714286
"BFF",53,0,13,1597,0.0381966186599875,-103.5960007,41.87400055,"Nebraska",725660,41.867,-103.6,21.3122854561879,1206.0081300813,3.79666975023127,14186.1409214092,72.8765041269886,0.845935305295104,0.245283018867925,0
"BFL",215,4,51,3280,0.0128116343490305,-119.056999,35.433601,"California",723840,35.433,-119.057,29.6844470046083,150.011520737327,2.68967517401392,16042.6324884793,33.4409407226358,0.066828212328489,0.237209302325581,0.0186046511627907
"BFM",21,0,0,0,NA,-88.0680999756,30.6268005371,"Alabama",722235,30.626,-88.068,28.588489968321,8,2.10550264550265,15184.2819429778,79.1290321710435,0.0895281976174226,0,0
"BGM",88,0,21,1108,0.239169675090253,-75.97979736,42.20869827,"NewYork",725150,42.2,-75.983,18.8964076858814,499,2.79447236180905,13604.0167084378,78.4692537474263,1.00253204494098,0.238636363636364,0
"BGR",460,15,97,5658,0.044734054605366,-68.828102,44.8074,"Maine",726070,44.798,-68.828,19.3309829059829,59,2.64267379679145,13089.3408119658,78.7549453292779,1.045263289771,0.210869565217391,0.0326086956521739
"BHM",1811,54,435,29289,0.106443366225423,-86.753502,33.562901,"Alabama",722280,33.563,-86.754,26.757399577167,192.012684989429,2.13890063424947,14583.2389006342,71.3722334050613,0.0474378337388632,0.240198785201546,0.0298177802319161
"BIL",444,5,76,6524,0.00176521761329382,-108.542999,45.807701,"Montana",726770,45.8,-108.543,22.9941893158388,1089.00749765698,4.15173708920188,15707.0487347704,45.3542581067404,0.856312133597927,0.171171171171171,0.0112612612612613
"BIS",379,4,74,4494,0.0301751096397587,-100.746002197266,46.7727012634277,"NorthDakota",720871,46.768,-100.894,18.6965840589417,593,4.52592343854936,15359.5197588747,81.550524929022,11.2836417025312,0.195250659630607,0.0105540897097625
"BJI",68,0,3,750,0,-94.93370056,47.50939941,"Minnesota",726561,46.447,-95.212,17.6408293460924,417.875279106858,2.16352903637524,15368.6090009575,81.5523487810952,120.005098073631,0.0441176470588235,0
"BKG",33,1,9,381,0,-93.200544,36.532082,"Missouri",720616,36.533,-93.2,23.4491150442478,397,1.36910029498525,14001.5505535055,85.7970246930928,0.113058116105976,0.272727272727273,0.0303030303030303
"BLI",148,0,18,893,0,-122.53800201416,48.7928009033203,"Washington",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,37.2338539867851,0.121621621621622,0
"BLV",89,1,29,2796,0.130543633762518,-89.835197,38.5452,"Illinois",724338,38.545,-89.85,24.3678127984718,140,1.9170964660936,15447.8338108883,79.7237381188279,1.28757261102741,0.325842696629214,0.0112359550561798
"BMI",282,4,65,3921,0.0285518020837916,-88.915901,40.4771,"Illinois",724397,40.477,-88.95,22.034126984127,265,3.49115646258503,14722.5090702948,79.7449310612722,2.88419002002874,0.230496453900709,0.0141843971631206
"BNA",7168,123,1372,86254,0.0506814787724444,-86.6781997680664,36.1245002746582,"Tennessee",723270,36.119,-86.689,26.2167115902965,181.565139263252,2.16774483378257,15318.3279424978,69.6584417390234,1.1467765010817,0.19140625,0.0171595982142857
"BOI",1709,8,249,16396,0.014797243249427,-116.223,43.5644,"Idaho",726810,43.564,-116.24,25.0354948805461,873.861205915813,3.03735632183908,16045.2025028441,33.9107289378342,1.37044824106341,0.14569923932124,0.00468110005851375
"BOS",13372,238,3469,279779,0.0342289340738674,-71.005203,42.3643,"Massachusetts",725090,42.361,-71.01,23.0628027681661,8.99221453287197,4.09593425605536,14276.8624567474,66.4994512994751,0.538501830491829,0.25942267424469,0.0177983846844152
"BPT",87,1,17,972,0.109053497942387,-94.020699,29.9508,"Texas",722410,29.95,-94.021,28.6475319926874,5.22486288848263,2.37419945105215,14606.8545288198,80.5181367046966,0.0935636850580101,0.195402298850575,0.0114942528735632
"BQK",90,0,18,1327,0.427279577995478,-81.4664993286133,31.2588005065918,"Georgia",722136,31.259,-81.466,26.8593609360936,8,2.78775877587759,14766.2904097253,84.7220301659856,0.0523905690689589,0.2,0
"BRD",57,0,4,332,0,-94.129727,46.402861,"Minnesota",726555,46.398,-94.138,18.8415354330709,374,2.63980295566503,12957.5797244094,74.379963310224,0.833430794182466,0.0701754385964912,0
"BRO",238,2,46,3326,0.00316455696202532,-97.4259033203125,25.9067993164062,"Texas",722508,26.166,-97.346,30.188125,6,5.443375,15406.026348808,72.2608612668752,29.9069725592802,0.19327731092437,0.00840336134453781
"BRW",62,0,2,34,0,-156.766008,71.285402,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,3090.30235224228,0.032258064516129,0
"BTM",57,0,3,148,0,-112.497001647949,45.9547996520996,"Montana",726797,45.777,-111.16,18.789798488665,1356.03526448363,2.8582806573957,16060.5743073048,54.9865318610127,105.392913975701,0.0526315789473684,0
"BTR",635,9,125,8646,0.0410875485153468,-91.149597,30.533199,"Louisiana",722320,30.533,-91.15,27.901017293998,22.9898270600203,2.44683673469388,14031.8921668362,77.9981152480822,0.0444907752991962,0.196850393700787,0.0141732283464567
"BTV",984,21,246,19017,0.0554027576628158,-73.153297,44.471901,"Vermont",726170,44.467,-73.153,21.1060768543342,103.996425379803,2.73521000893655,15442.7676496872,66.9462613647282,0.545475688917314,0.25,0.0213414634146341
"BUF",2252,57,475,34401,0.0430444019311388,-78.73220062,42.94049835,"NewYork",725280,42.933,-78.736,21.5260273972603,215.693150684932,3.76776255707763,15625,67.3006751729945,0.889297161886159,0.210923623445826,0.0253108348134991
"BUR",2969,75,449,26301,0.0387398233330593,-118.356378,34.197703,"California",722880,34.201,-118.359,23.5584595959596,223.05303030303,2.56915297092288,15366.6022727273,61.948870672738,0.438806375775456,0.151229370158302,0.0252610306500505
"BWI",9337,192,1673,108414,0.0537161149164262,-76.668297,39.1754,"Maryland",724060,39.173,-76.684,25.1989043824701,46.99203187251,2.53187250996016,15218.280876494,70.8430912173059,1.3796785004428,0.179179608011138,0.0205633501124558
"BZN",700,2,114,6560,0.00851577996479031,-111.1529999,45.77750015,"Montana",726797,45.777,-111.16,18.789798488665,1356.03526448363,2.8582806573957,16060.5743073048,54.9865318610127,0.545719047222979,0.162857142857143,0.00285714285714286
"CAE",626,19,150,9528,0.01290815048155,-81.119499,33.938801,"SouthCarolina",723100,33.939,-81.12,26.9667318982387,69.0058708414873,2.35749265426053,15149.2358121331,71.5604899824506,0.0512417882711838,0.23961661341853,0.0303514376996805
"CAK",527,25,145,15373,0.0778675330441608,-81.4421997070312,40.9160995483398,"Ohio",725210,40.916,-81.45,22.186192893401,376.996954314721,3.171269035533,13789.8629441624,74.0020106779117,0.655526137928174,0.275142314990512,0.047438330170778
"CDC",88,0,5,411,0,-113.098999023438,37.701000213623,"Utah",724755,37.701,-113.099,24.0562264150943,1712.01257861635,3.37673830594185,16027.2100628931,29.9777274468928,8.91400491665922e-05,0.0568181818181818,0
"CDV",62,0,13,442,0,-145.477997,60.491798,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,1982.61938130756,0.209677419354839,0
"CGI",84,3,14,895,0.0167597765363128,-89.570801,37.2253,"Missouri",723290,37.225,-89.571,24.7285101822079,106.996784565916,2.1609071274298,13885.2079314041,77.2462645385511,0.0377258187899409,0.166666666666667,0.0357142857142857
"CHA",763,16,153,10812,0.181837569512922,-85.203796,35.035301,"Tennessee",723240,35.033,-85.2,26.6480885311871,210,1.75780463242699,15282.4798792757,70.8933183045585,0.43001719161018,0.200524246395806,0.0209698558322412
"CHO",488,18,124,9594,0.0658377853326858,-78.4529037475586,38.138599395752,"Virginia",724016,38.137,-78.455,24.2932663316583,195.993969849246,1.58810483870968,13652.812244898,72.4911605012826,0.255421277655479,0.254098360655738,0.0368852459016393
"CHS",2395,54,528,40552,0.0547263482287665,-80.040497,32.898602,"SouthCarolina",722080,32.899,-80.041,26.934628975265,14.780035335689,3.01660777385159,15290.593639576,78.6208812019166,0.0645285569870067,0.220459290187891,0.0225469728601253
"CID",860,15,161,10934,0.0494333955074518,-91.7108,41.884701,"Iowa",725450,41.883,-91.717,20.3817193675889,265,2.97346534653465,12946.3824110672,84.2118045640623,0.547005804554498,0.187209302325581,0.0174418604651163
"CIU",57,1,7,493,0.105476673427992,-84.4723968505859,46.2508010864258,"Michigan",720321,45.654,-84.519,17.9883603603604,195,2.63848648648649,15672.6899783706,73.4311756575468,66.4589787458465,0.12280701754386,0.0175438596491228
"CKB",72,0,18,1491,0,-80.228104,39.2966,"WestVirginia",724175,39.296,-80.229,22.2576814326107,367.154571159284,1.59763928234183,12479.3053722903,74.2770664323141,0.101960355047908,0.25,0
"CLE",4422,121,934,70029,0.0404386106058034,-81.8498001099,41.4117012024,"Ohio",725240,41.406,-81.852,22.7221428571429,244.989285714286,3.47482142857143,15220.2607142857,70.6859145899415,0.659958530791593,0.211216644052465,0.027363184079602
"CLL",194,4,30,3932,0.0186335403726708,-96.36380005,30.58860016,"Texas",723761,30.515,-96.704,29.8957341715312,119,2.88010776829816,15788.7257194245,69.1734262403588,33.5890224337612,0.154639175257732,0.0206185567010309
